Allowed Value to Be Mapped,Allowed Value as Sent to Channel
Hose pipe cart,27565
Hose reel,22551
Hose trolley,31776
2-way hose pipe connector,32701
3-way hose pipe connector,34470
4-way hose pipe connector,32702
Handheld seed sower,35570
Hose pipe connector,27564
Hose repair connector,22381
Triple hose pipe connector,32716
Hose cart set,33940
Hose reel & hose,31726
Hose reel set,33936
Wheelbarrow water bag,35278
Wheelbarrow axle,34635
Wheelbarrow wheel,32137
Wheelbarrow inner tyre tube,34631
Wheelbarrow tray,22638
Wheelbarrow frame,33418
Cart,27093
Combi cart,31691
Wagon,35348
Work cart,31736
Ballbarrow,32111
Wheelbarrow,18527
Truck,27086
Petrol tillers,27363
Tiller,30826
Stump grinder,27445
Lawn scarifier head,18758
Manual log splitter,27378
Log saw horse,27377
Log saw,30831
Docking station,34492
Battery,25791
Harrow attachment,36585
Potato plough attachment,36582
Rake attachment,36587
Ridger attachment,36584
Tiller attachment,36583
Weeder attachment,36586
Atomiser,35621
Garden machine wheel,35753
Pneumatic wheel,36697
2 stroke set,35619
4 stroke set,35618
Chainsaw set,35620
Pull cord,33866
Pull start,33867
Garden oil,27366
Oil,32023
Oil aerosol,32097
Penetrant spray,33807
Silicone spray,33808
Water dispersant,33803
Fuel stabiliser,27365
Fuel mixing bottle,33802
Brushcutter head,35648
Brushcutter,22181
Line trimmer,27381
Lawnmower,12396
Scythe mower,35745
Lawnmower blade spacers,32489
2-in-1 brushcutter & grass trimmer,33527
3-in-1 brushcutter & grass trimmer,33669
Brushcutter & line trimmer,30683
Grass trimmer,22609
Brushcutter spool,33620
Line,27383
Line trimmer spool,27401
Line trimmer spool & line,27384
"Replacement cover, spool & line",31746
Spool & line,12637
Trimmer line,32096
Trimmer safety kit,13111
Hedge trimmer,22611
Pole hedge trimmer,33988
2-in-1 pole hedge trimmer & pruner,33989
Pruner & hedge trimmer,33619
Brushcutter blade,27379
Trimmer blade,31706
Edger multi-tool attachment,35649
Multi-tool cultivator attachment,35601
4-in-1 multi tool,31705
Backpack multi tool,31745
Garden multi-tool,27781
Multi cutter,31770
Multi-tool,12602
Hedge trimmer extension shaft,31704
Multi-tool extension pole,27358
Hedge trimmer attachment,31652
Hedge trimmer multi-tool attachment,27357
Hedge trimmer pruner attachment,31659
2-in1 garden multi-tool,31434
3-in1 garden multi-tool,31435
4-in1 garden multi-tool,31436
Brushcutter attachment,32022
Chainsaw,12030
Self sharpening chainsaw,31701
Chainsaw chain grinder,35992
Chainsaw file,27330
Chainsaw file holder,32481
Chainsaw chain,21141
Pruning saw chain,31813
Chainsaw bar,27325
Guide bar,31700
Pruning saw bar,31432
Blower attachment,30681
Lawnmower handle attachment,33618
Vacuum attachment,30682
Window vac suction head,31849
Blower,27331
Blower & vacuum,27333
Floor sweeper,31842
Garden blower,32095
Garden blower & vacuum,32125
Garden vacuum,32117
Rechargeable underwater vacuum,31699
Base plate,35976
Composter extension kit,34004
Incinerator,10385
Beehive composter,35058
Composter,12078
Hot composter,35059
Kitchen caddy,35056
Worm farm,35055
Wormery aerator,35057
Clearaway bag,27451
Pop-up bag,27452
Recycling bag,30882
Float switch,35947
Hydrophore,35804
Hand pump stand,34727
Drum pump,33688
Water pump,27664
Submersible pump,33968
Garden trowel head,35669
Swimming pool cleaning hose pipe attachment,35668
Fruit picker head,35667
Brush head,35665
Scraper head,35666
Gutter cleaner head,35664
Lawn aerator head,35663
Scythe ring,35662
Peening anvil,35661
Sweeper head,35660
Pruning saw attachment,35659
Chop saw attachment,35658
Manual cultivator head,35657
Handle adaptor,35655
Hoe head,35654
Garden tool storage stand,35650
Scythe wedge,35603
Gutter cleaning scraper,35602
Lawn aerator shoe,31685
Lawn aerator shoes,35632
Nut gatherer,35571
Hedge trimmer debris remover,35569
Pole saw attachment,35861
Pole saw multi-tool attachment,35568
Grass trimmer replacement blade,35567
Blower & vacuum attachment bag,35566
Shrub & grass shear,35502
Hoe,21300
Plough head,35749
Weeding brush,35441
Pole pruner,36564
Pruner,27092
Pruner & shrub shears,36492
Secateur,21302
Edger head,34781
Snow plough head,34748
Lopper & secateur set,34733
Weeding cone,13501
Weed puller,31687
Hand fork,31679
Lawn aerator,11848
Punner,32853
Tamper,32603
Carry strap,29275
Leaf rake head,32856
Soil rake head,32851
Brush hook,21220
Gas weed burner,29905
Post digger,29177
Post hole digger,12764
Root breaker,21311
Scoop,11497
Soil scoop,31690
Transplanter,21296
Drain shovel,21230
Micro shovel,21231
Shovel,21225
Snow shovel,21229
Loppers,30828
Shears,27091
Edging iron,33704
Lawn edger,31688
Weeder,21288
Lawn sweeper,27089
Hollow tine aerator,13552
Broom handle,28568
Pole,27094
Shaft,33722
Telescopic handle,31684
Grafting spade,36517
Rabbiting spade,33962
Spade,21222
Mesh sieve,32462
Sieve,27085
Standing sieve,34446
Garden snips,36478
Pruning snips,36477
Secateurs,29879
Hand rake,33723
Rake,13074
Skareator,34469
Post driver,31682
Post rammer,12763
Aerator & spreader,31683
Hand held spreader,12349
Spreader,5614
Wheeled spreader,27087
Leaf grabber,27083
Hand pushed garden roller,31681
Lawn roller,12409
Towed garden roller,31733
Hoe & cultivator,31686
Hoe & pick,32854
Axe set,32459
Digging tool set,32460
Fork & spade set,36516
Fork & trowel set,31732
Garden tool set,27082
Rake & broom set,32461
Border fork,33958
Digging fork,33957
Fork,12278
Manure fork,33959
Pitchfork,33960
Standard fork,33961
Tined fork,33955
Trench fork,33954
Weeding fork,33956
Dibber,7722
Bulb planter,21299
Pond water treatment,35822
Fish net,35767
Lamp,31881
Solar pond pump,27464
Aquarium filter,36108
Pond filter system,31375
Wired pond pump,27465
Green water treatment,31694
Pond & water treatment,27466
Tap water conditioner,31739
Water butt treatment,31650
Water feature treatment,31764
Pond liner felt,35847
Garden clock,31763
Garden clock with thermometer,36078
Windbreak,35393
Wind sock,35392
Weathervane,35391
Paraffin lantern,35157
Artificial plant wall,34934
Torch wick,35169
Wind spinner motor,32487
Water feature,32434
Twister ornament,30825
Wind chime,12897
Wind spinner,12898
Wind twister,31738
Garden ornament,32021
Plant marker,31737
Decorative lantern,27458
Wastepaper basket,35326
Wastepaper bin,35317
Nappy bin,35309
Bin lid,35293
Bin,32892
Bin bag,30202
Bin liner,27453
Caddy liner,27454
Compostable bags,27455
Wheelie bin liner,27457
Wheelie bin,27467
Outdoor bin,13493
Cigarette bin,21427
Pull-out bin,33798
Swing-out bin,30482
Recycling bin,13494
Sharps bin,30359
Outdoor litter bin,24913
Ironing board cover clip,36508
Ironing blanket,34661
Iron holder,32950
Folding board,28746
Iron,28873
Steam iron,28874
Active steam cushion ironing board,28870
Ironing board,28861
Table top ironing board,28866
Ironing board cover,28860
Ironing board felt pad,28865
Protective ironing cloth,32745
Reflective ironing board cover,28869
Airer accessory kit,36566
Hanging wardrobe organiser,36578
Hanging wardrobe storage,36706
Wardrobe storage,34928
Mounting sleeve,34921
Outdoor clothes line & end supporting stand,34900
Heated airer,5560
Clothes peg holder,32619
Peg bag,32585
Storage bag,32865
Under bed storage bag,36575
Airer,28862
Laundry airer,13253
Portable rotary airer,28872
Rotary airer,28863
Rotary washing line,28868
Sock dryer,13314
Clothes pegs,30676
Hanger hook,36565
Replacement washing line,33074
Washing line,32800
Line post,28857
Washing line support pole,28864
Clothes hangers,33071
Coat hanger,34656
Hangers,33072
Tie hanger,35356
Trouser hangers,33073
Cleaning brush & bucket set,35757
Empty spray bottle,35459
Cleaning roller,35429
Delicates bag,34585
Mesh laundry bag,34584
Wash bag,34529
Bobble remover,33686
Spray bottle window squeegee,32601
Air duster,32565
Lint roller,32611
Lint roller refill,33821
Sticky brush,32564
Shopping bag handle,32562
Fitted cleaning cloth,32665
Fitted cleaning pad,32668
Dust pan,32850
Spray bottle kit,31854
Window cleaning set,35850
Window scrubbers,35849
Window vac squeegee head,34100
Flat mop wringer,30449
Mop wringer,5557
String mop wringer,30450
Mop kit,30411
Anti-bacterial wipes,30439
Cleaning wipes,31567
Cloth wipes,35067
Cockpit wet wipes,31572
Dashboard wipe,28602
Decorators wipes,30438
Degreaser wipes,30441
Dusting wipes,30945
Floor wipes,30415
Flushable wipes,30440
Leather wipes,30437
Multisurface wipes,30436
Sponge wipe,28603
Upholstery wipes,35069
Window dry wipes,31574
Window wet wipes,31575
Scrubber,28597
Squeegee,12813
Squeegee & scrubber,28598
Window scrubber,28600
Window squeegee,28599
Window squeegee & scrubber,28601
Scrubber replacement,28593
Shower squeegee blade,31557
Squeegee blade replacement,28594
Window scrubber replacement,28595
Window squeegee blade replacement,28596
Window vacuum squeegee blade,30966
Applicator pad,28584
Cleaning pad,34717
Decorators grout scourer,31570
Dish scourer,31847
Magic eraser,28587
Oil absorbing pad,28588
Scourer,28582
Scourer roll,31556
Scouring gloves,34899
Spillage absorbing pad,28589
Sponge scourer,28590
Decorating towels,28580
Moist toilet tissue,36665
Paper roll,31555
Paper towels,28581
Toilet roll,28579
3 Action mop,31551
Bucket & mop set,31552
Flat mop,28576
Floor sponge mop,28578
Fringe mop,31550
Mop,28575
Mop with scrubber,31553
Spray mop,30963
String mop,30412
Twist mop,30965
3 Action mop head,31548
Dusting mop head,31547
Flat floor mop head,28573
Flat mop head,28572
Floor sponge mop head,28574
Mop head,28571
Scrub brush head,31549
Sponge mop refill,35573
Spray mop head,31546
String mop head,30410
Twist mop head,31544
Washing mop head,31545
Mop frame,28569
Mop handle,31543
Telepole,28570
Window vac extension pole,12932
Duster,28560
Dusting brush,31530
Dusting wand,28561
Electrostatic duster,31542
Venetian blind duster,28562
Dustpan & brush set,28564
Dustpan set,28567
Long handle dustpan & brush set,28565
Wet & dry spill pan,28566
Buffing cloth,28545
Cleaning cloth,28547
Cleaning mitt,33760
Decorating cloth,28549
Dish cloth,28550
Drying towel,28551
Furniture cloth,28552
Glass cloth,28553
Grout removing cloth,28554
Lint free cloth,31541
Polishing cloth,28555
Pre-paint dust cloth,28556
Rags,28557
Stockinette roll,28558
Streak-free cloth,31845
Terry cloth,31540
Broom head,32848
Blanketweed brush,28537
Brush,21169
Car wash brush,28538
Clothes brush,33756
Dish brush,28539
Grout brush,28541
Hand brush,21314
Radiator brush,7487
Scrubbing brush,28542
Upholstery brush,28543
Broom & scraper,35405
Deck broom,33963
Plug-in air freshener,36676
Plug-in air freshener & refill kit,36678
Plug-in air freshener refill,36677
Spray,12453
Household detergent set,35331
Chimney cleaning product,34696
Iron cleaning stick,34632
Cleaning product with cloth,34630
Bacterial activator for septic tank & domestic sewage treatment plant,34276
Septic tank & domestic sewage treatment plant cleaning product,34300
Stain remover,30435
Scented stick,30637
Radiator humidifier oil,11696
Radiator humidifier oil & scent sheet,11683
Radiator humidifier scent sheet,11701
Scent oil,34338
Fabric waterproofing protector,30408
Chemical spa kit,28660
Chlorine granules,28658
Chlorine tablets,28659
Water clarifier,12895
Brass polish,28649
Floor polish,28647
Furniture polish,13233
Laminate floor polish,28648
Leather balm,33759
Polishing paste,30957
Rain repellent wax,33764
Silver polish,28650
Tile polish,28653
Vinyl floor polish,28654
Wax,28655
Wood floor polish,28656
Wood polish,28657
Algae & mould remover,28644
Fungicidal wash,31539
Mould & mildew remover,33767
Mould remover,28646
Algae remover,30416
Bleacher & stain remover,30417
Brick & masonry cleaner,28641
Clinker cleaner,30944
Graffiti remover,28642
Patio & driveway cleaner,26612
Patio & stone cleaner,32680
Patio cleaner,28643
Stone cleaner,31565
Antiseptic,31538
Bicarbonate of soda,33880
Black soap,36613
Bleach,28523
Caustic soda,31534
Citric acid,33879
Cleaning spray,31945
Detergent,31535
Disinfectant & cleaner,30409
Glass cleaner,34526
Grout cleaner,36620
Grout protector,36621
Household cleaner,28640
Residue remover,31946
Salt,33881
Soap,34527
Soda crystals,28501
Spray refill,33212
Washing liquid,33763
White vinegar,33882
Foam handwash,28635
Hand cleaner,28636
Hand cleaning paste,30950
Hand cream,28637
Hand gel,33125
Hand sanitiser,35066
Hand wash,28638
Hand wipes,30951
Lotion handwash,28639
Floor refinisher,35776
Hard floor cleaner,28628
Laminate & wood floor cleaner,28629
Laminate floor cleaner,28630
Multi-purpose floor cleaner,28631
"Stone, tile & laminate floor cleaner",28632
Universal hard floor cleaner,28633
Wood floor cleaner,28634
Ammonia,28526
Drain cleaner & unblocker,28529
Drain opener,28531
Drain unblocker,28532
Instant drain clearer,28533
Plughole & drain unblocker,36633
Plughole sanitiser,35065
Plughole unblocker,28534
Sink & drain unblocker,28535
Toilet block,31844
Toilet cleaner,28536
Disinfectant,28525
Anti-limescale ball,36573
Carpet detergent,28495
Dishwasher cleaner,28497
Dishwasher rinse aid,28498
Dishwasher salt,36675
Dishwasher tablets,28499
Eco laundry ball,36572
Fabric conditioner,36638
Pet detergent,28500
Purifying cleaning agent,30465
Washing capsules,36636
Washing powder,28503
Window cleaner,28521
Descaler,28491
Dishwasher descaler,34606
Limescale remover,28492
Deodouriser,28490
Fresh bin powder,28488
Bicycle degreaser,28483
Cleaner & degreaser,28484
Degreaser,33758
Oil & grease remover,28487
Carpet & upholstery cleaner,28475
Carpet & upholstery shampoo,28474
Carpet cleaner,28663
Carpet freshener,33857
Carpet pre-treatment traffic lane cleaner,28476
Carpet stain remover,28477
Cleaner & renovator,28478
Fabric cleaner,28479
Fabric protector,32912
Floor & carpet cleaner,28480
Leather treatment & cleaner,28481
Upholstery cleaner,28482
Urine remover,33757
Pressure sprayer attachment,35346
Pipe & drain cleaning kit,31893
Pipe cleaning hose,22249
Sandblasting kit,22343
Pressure washer detergent,31533
Shampoo detergent,33946
Pressure washer filter,32834
Comet to MacAllister adaptor,32832
Fix brush,33236
Karcher to MacAllister adaptor,32831
MacAllister to Karcher adaptor,32830
Nozzle,22228
Rotary brush,33235
Twin nozzle holder,32829
Underbody swivel adaptor,32833
3-in-1 stone & cladding cleaner,31467
Pressure washer decking cleaner,29881
Pressure washer patio & decking cleaner,29882
Pressure washer patio cleaner,28947
Lance extension,30954
Pressure washer lance,28946
Extension hose,31531
Pressure washer hose,28945
Suction hose,31532
Pressure washer gun,28944
Pressure washer foam nozzle,32033
Pressure washer foamer,28943
Car brush,22324
Flat brush,30947
Pressure washer brush,28942
Rotating brush,30960
Round brush set,30961
Steam brush turbo,30964
Wheel rim brush,22267
High-pressure hose kit,30952
Pressure washer attachment kit,28941
Pressure washer hose & gun set,33335
Roof gutter & pipe cleaning set,30959
Sand blast kit,22317
Self priming kit,33972
Pressure washer (hot water),35993
Carpet cleaning machine,36628
